"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000108424",6668.2656318673,0.925509856287249,0.065911385887642,14.0417295710479,8.65736645314717E-45,5.574519484736E-43
"ENSG00000164163",1199.26059363358,1.39491175608181,0.112199168220439,12.4324607588999,1.74188439127316E-35,7.05202417329213E-34
"ENSG00000066583",145.568764542748,1.33116679864668,0.139011948096729,9.57591643648078,1.00957926352097E-21,1.98423412810037E-20
"ENSG00000147119",200.999376239672,1.72155764418565,0.211382905640719,8.14426142439224,3.8160395967378E-16,5.02928727359538E-15
"ENSG00000174684",101.38925977005,-1.59221659053808,0.21207958491955,-7.5076372444904,6.02040542933622E-14,6.61853026142149E-13
"ENSG00000122299",1056.22785564737,0.56660580285376,0.075706343674292,7.48425792812615,7.19525233286319E-14,7.87169919457735E-13
"ENSG00000171928",154.725464126824,0.932155442884503,0.129122435851969,7.21915937175443,5.23099217968149E-13,5.34240757202819E-12
"ENSG00000182568",322.662519897607,-1.20117053760885,0.172377323706377,-6.968263062576,3.20877819996301E-12,3.0405815571058E-11
"ENSG00000214900",22.3554505111339,2.57329307955712,0.386564134184048,6.65683350316185,2.7978982793642E-11,2.41129257702758E-10
"ENSG00000079950",2497.02280701809,-0.747607905312588,0.113473715512569,-6.58837953737208,4.44652803057593E-11,3.75318052618276E-10
"ENSG00000146872",454.13807045981,0.564992705460574,0.088879794355798,6.35681832474579,2.05975354569837E-10,1.62781925452562E-09
"ENSG00000101782",1317.46629817637,0.51976355658827,0.082572239107691,6.29465256368301,3.0808913254084E-10,2.38738180528208E-09
"ENSG00000179362",12.0612764100299,4.11087495002578,0.817284830897682,5.02991710431051,4.90691936745141E-07,2.54414738062415E-06
"ENSG00000145703",7883.86982399686,-0.48748133017915,0.104645153564942,-4.65842242638233,3.18641835489316E-06,1.46404175993426E-05
"ENSG00000233038",34.9037543272663,-2.17531979420795,0.468004437789,-4.64807514322908,3.3504686729535E-06,1.53212842055046E-05
"ENSG00000062716",1415.43435443577,0.441066150223112,0.09669463815306,4.56143338087618,5.08055960623102E-06,2.26356925849937E-05
"ENSG00000117481",177.036171331685,0.607923750858215,0.133526934972151,4.55281738463485,5.29322180259195E-06,2.34980122175471E-05
"ENSG00000141098",86.9690419236952,0.840412690124179,0.193036560242928,4.35364518030449,1.33892353879502E-05,5.61599311616099E-05
"ENSG00000196372",135.878013332606,-1.03568517159882,0.238822443642495,-4.33663250322146,1.44682222850837E-05,6.03266425343516E-05
"ENSG00000185104",276.496834548913,-0.596922917042008,0.141048436804087,-4.23204205992811,2.31579087631776E-05,9.33913636432112E-05
"ENSG00000163807",346.090285319592,-0.431995468745818,0.103775211719152,-4.16280016768294,3.14368474382685E-05,0.000123968810458
"ENSG00000128342",26.8917914049898,1.08938788891398,0.267421733654947,4.07366998196044,4.62780465185977E-05,0.000176572162817
"ENSG00000100138",275.920737049295,-0.460305527589253,0.113176290192783,-4.06715511530883,4.75905666356983E-05,0.000181120079383
"ENSG00000147324",430.015551464024,-0.803362792557203,0.206725213322526,-3.8861384136236,0.000101851447968,0.000364155282767
"ENSG00000260563",19.1906919462864,-1.35248539400936,0.354679203362656,-3.81326387672768,0.000137143549124,0.000478569050648
"ENSG00000169758",37.9360338803904,-1.13185829472667,0.305089428206618,-3.70992302611068,0.000207322271813,0.000701905798561
"ENSG00000165792",299.792044156382,-0.512764825610755,0.13913442355836,-3.68539152638725,0.000228351325467,0.000767146987073
"ENSG00000231113",21.8779991854046,-1.33051153498485,0.36103763239687,-3.68524335303164,0.000228484221157,0.000767402791476
"ENSG00000115295",458.863029332802,-0.635278586189122,0.176353265943503,-3.6023068968433,0.000315405684208,0.001032667230474
"ENSG00000162994",66.2778262151182,-0.928667887766261,0.258068999876968,-3.59852554242856,0.000320026424056,0.001046929559714
"ENSG00000280187",18.8159676349732,-1.33922938737882,0.373666104895982,-3.58402694231959,0.000338337162792,0.001101081856865
"ENSG00000165898",141.279227850464,-0.532332137028957,0.151669993846227,-3.50980522600053,0.000448435049093,0.001419785442334
"ENSG00000100324",123.073581636019,-0.490934366710762,0.141786903572977,-3.46248034437173,0.000535221006181,0.00167026504629
"ENSG00000143156",50.037124138986,-0.906477824836784,0.264219433552151,-3.43077650515765,0.000601856243403,0.001860743145933
"ENSG00000139644",15198.8278555043,0.222494400754408,0.072420864876347,3.07224169628876,0.002124576214212,0.005773416312012
"ENSG00000124613",15.7774133641407,-1.5229257955369,0.530502896095689,-2.87072098332561,0.00409536832839,0.010423032286182
"ENSG00000074356",674.446115096964,0.284427478560207,0.100391339198089,2.83318741270084,0.004608635735457,0.011572511126249
"ENSG00000128739",79.3051399130914,-0.501734189523186,0.196604446919135,-2.55199817392509,0.01071070801275,0.024267793858646
"ENSG00000280670",12.957223840842,-1.10750478849439,0.434596466771229,-2.5483520303845,0.010823319135715,0.024486016622577
"ENSG00000256546",9.72329367954628,-1.28036701846912,0.507050552485175,-2.52512695665894,0.011565649889352,0.025956965610592
"ENSG00000187792",42.089162495947,-0.613618695573925,0.251832605957311,-2.43661337355951,0.014825521198014,0.032323556536527
"ENSG00000160051",9.32206513923394,-1.39015903370991,0.571861870662179,-2.43093499501933,0.015059916232689,0.032713283100148
"ENSG00000023697",380.260850215499,-0.269845260878847,0.11767400159981,-2.29315955274934,0.021838820833779,0.045368648842273
"ENSG00000214274",13.3199368008715,-0.999518345309065,0.446013355989227,-2.24100541359844,0.025025724343133,0.051187088877302
"ENSG00000198589",489.666276067101,-0.23240854479522,0.105012242786932,-2.21315666275953,0.026886846727237,0.054303800066571
"ENSG00000101546",28.8273314446672,0.786154288026846,0.356147964755338,2.2073811051171,0.027287445303794,0.054973306823288
"ENSG00000164080",374.768847659998,0.236624234658196,0.107510625339708,2.20093812970131,0.027740404136763,0.0557695130445
"ENSG00000066135",307.486701735497,-0.214093342196917,0.101316441720148,-2.11311548808904,0.03459088435307,0.067484913897303
"ENSG00000236778",17.2799202057235,-0.869127331340595,0.420673644959077,-2.0660370378685,0.038824982489633,0.074340330391506
"ENSG00000189369",113.539862751309,-0.32911609489581,0.16618421472154,-1.98042934130225,0.047655305697862,0.088759647885192
"ENSG00000110801",28.4166775690479,0.609826727750675,0.310348660846084,1.96497296327344,0.049417366874919,0.091512138439147
"ENSG00000238197",54.1117326956148,-0.572092446098445,0.309132598138201,-1.85063771838997,0.064221689604083,0.114630894395949
"ENSG00000104823",169.68059376606,-0.389994225714908,0.212073661757956,-1.83895643844739,0.065921593531724,0.117195870067837
"ENSG00000178175",202.85849881574,0.59034582834614,0.323768436949904,1.82335818125929,0.068249159668082,0.120620198278892
"ENSG00000168010",352.554984523423,-0.358594058566527,0.207315129220153,-1.72970520731136,0.083682957867652,0.143181191482525
"ENSG00000131845",185.760078646143,-0.191727742635372,0.116700786034243,-1.64290018217284,0.100403587342111,0.166931920329526
"ENSG00000175274",366.654307528857,0.168087148599431,0.105478757638785,1.59356397783001,0.111033728035149,0.181745317817611
"ENSG00000164815",149.710082006886,-0.200687663733155,0.131862994909336,-1.52194073759011,0.128023930500671,0.204771656994331
"ENSG00000168995",308.747887379577,-0.222440828059077,0.147796469324776,-1.50504832135247,0.13231165393969,0.21043497819013
"ENSG00000198729",35.1569301059734,0.670076133745573,0.457701618401138,1.46400210706335,0.143193372633657,0.224363937978251
"ENSG00000184661",38.1696251805339,-0.588022471402178,0.402280760169663,-1.46172158756531,0.143817519091078,0.225181343886804
"ENSG00000071243",241.837801033476,0.221858701855697,0.152795447484378,1.45199811583641,0.146502129138786,0.228621095235391
"ENSG00000099194",6370.12314544846,-0.264138894285738,0.190469287593634,-1.38677945207249,0.165509024610204,0.252968580397782
"ENSG00000226696",18.7885723561762,-0.471390705993315,0.343245280084103,-1.37333485220194,0.169648272562104,0.258273355278628
"ENSG00000232160",38.2664691051886,-0.348279384822876,0.26798286936289,-1.29963301628528,0.193726778141403,0.288499283483265
"ENSG00000162396",61.2711610880528,-0.241054847192731,0.200526328983466,-1.20211070743038,0.2293206384154,0.331325320296296
"ENSG00000169851",18.4593144482681,-0.637293891532157,0.535358955937787,-1.19040483859247,0.233887312208323,0.337204238861426
"ENSG00000173852",406.294048736173,-0.131374799101858,0.110517665973722,-1.18872216441031,0.234549015738646,0.337940521131377
"ENSG00000169696",56.9531802702681,-0.24483564668812,0.21188240326575,-1.1555260980358,0.247875051644504,0.353263748770761
"ENSG00000116688",1083.67348506485,0.09560103536973,0.086623140397291,1.10364314813873,0.269747966236664,0.378335442324672
"ENSG00000273341",21.5805385239328,0.387482041457832,0.352837734955516,1.09818764567991,0.27212255977127,0.381151983968004
"ENSG00000160209",1934.01871185093,0.114232325459739,0.113949092482185,1.00248560976997,0.316109113224615,0.430455934443429
"ENSG00000145386",151.583811728415,-0.309592833423607,0.344650208849617,-0.898281287735107,0.369035605980099,0.487124117928827
"ENSG00000104112",36.0963755564601,0.272967703940145,0.310082974400028,0.880305358487686,0.378693910554031,0.497297652077832
"ENSG00000101412",25.7343138268793,-0.315920948341273,0.432350618434141,-0.730705438760456,0.46495909280423,0.581446116054638
"ENSG00000134285",73.0473653517658,0.161626581293393,0.228424525578591,0.707571049492165,0.47921167641515,0.593546151080304
"ENSG00000106244",558.140651770358,0.054104484901299,0.089660188820395,0.60343933704712,0.546216459978818,0.654491712169568
"ENSG00000179532",31.6713392951202,-0.18489370454402,0.313488139964566,-0.5897948948401,0.555328165740121,0.662532861932055
"ENSG00000170043",259.561946041923,0.06222854500273,0.123238743545109,0.504943033437794,0.613598847801244,0.712991631861168
"ENSG00000231503",33.7103425019086,0.124444696092516,0.253847798219465,0.49023350592518,0.623968673718992,0.722062850323339
"ENSG00000169241",210.580381813377,0.073659462649853,0.15069705548799,0.488791651643936,0.624989209004773,0.722788995493041
"ENSG00000148498",51.4439563620778,0.146789572984567,0.301726168027162,0.486499311426488,0.626613193423654,0.723945967316699
"ENSG00000204387",502.256816966816,0.044895233409495,0.09433462582337,0.475914681567248,0.634135162199681,0.729706038912781
"ENSG00000109065",103.811891274178,0.072561027292574,0.156717875796519,0.463004152677431,0.643361390519308,0.737811273225518
"ENSG00000136811",229.169213347649,-0.054096928663,0.120279753696148,-0.449759223814672,0.652884062593362,0.745885290164535
"ENSG00000104219",348.521845046672,0.080942079634292,0.183037668409023,0.442215421218196,0.65833332782609,0.750462254161557
"ENSG00000171992",20.4231696885693,0.221937185438896,0.537667549224756,0.412777720654519,0.67976947601896,0.76867727502328
"ENSG00000125482",234.130256783224,-0.050893261700917,0.128165683538198,-0.397089613193913,0.691301379100669,0.778397639120597
"ENSG00000170088",800.307550943088,0.02703387675244,0.07097359616062,0.380900478697174,0.703277097268192,0.787553864120951
"ENSG00000103510",256.156220445771,-0.047022444263241,0.128088681895095,-0.367108503011629,0.713538084962816,0.794700764753084
"ENSG00000100162",7.27654590376291,0.163111092957684,0.582019210787484,0.280250359325754,0.779285432797359,0.8450956469874
"ENSG00000197647",13.2719066603952,-0.105291851494914,0.378147961130606,-0.278440881130516,0.78067394115592,0.84616303662035
"ENSG00000204524",38.627372539147,0.056952003050262,0.224116882859055,0.2541174155366,0.799404849245475,0.859948478241632
"ENSG00000182484",17.6733208815607,-0.087529567279677,0.377807971145399,-0.231677396891109,0.816788588445602,0.872816128730949
"ENSG00000179886",21.4268850608907,-0.080987921004901,0.398925078810664,-0.203015366309769,0.839123021726773,0.887286635892197
"ENSG00000173465",15.3232950404103,-0.073188136785275,0.398549652587081,-0.183636182619137,0.854298876165915,0.8984856034468
"ENSG00000255491",8.53812306122065,-0.062810437297052,0.470344244438114,-0.133541417886567,0.893765210844232,0.926943793606052
"ENSG00000143147",36.9468057799738,0.042741714797504,0.342069641886732,0.124950330470007,0.900562872605556,0.932277688207956
"ENSG00000254995",24.8716841523592,-0.014756404094755,0.273755090352574,-0.053903670159154,0.957011912555111,0.972182036028112
"ENSG00000143575",289.887140401528,-0.003730357725464,0.132855592043483,-0.028078289126463,0.97759971001287,0.98547064848621
